S.No.,Combination,Mean Absolute Error,Mean Squared Error
139,H-Index+Total Refs+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,35.4615422291117,1257.6907918875202
140,H-Index+Total Refs+Total Cites(3years),4.557523572762699e+35,2.0771021116287743e+71
141,H-Index+Total Refs+Total Cites(3years)+Ref/Doc,2.1480147162697328e+17,4.613967221311361e+34
142,H-Index+Total Refs+Total Cites(3years)+Cites/Docs(2years),3.062107939706116e+18,9.376505034411286e+36
143,H-Index+Total Refs+Total Cites(3years)+Cites/Docs(2years)+Ref/Doc,2.4301798549157483,6.075588747685778
144,H-Index+Total Refs+Total Cites(3years)+Citable Docs(3years),4.1471913948257745e+51,1.7199196465316925e+103
145,H-Index+Total Refs+Total Cites(3years)+Citable Docs(3years)+Ref/Doc,2.142683948527866e+20,4.59109450327896e+40
146,H-Index+Total Refs+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years),2.011991720565907e+18,4.0481106836257664e+36
147,H-Index+Total Refs+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,1.3040539956317688e+18,1.7005568235231714e+36
148,H-Index+Total Docs(3years),9.289716198627938e+16,8.629882705105001e+33
149,H-Index+Total Docs(3years)+Ref/Doc,28.199777226746626,795.3972502585854
150,H-Index+Total Docs(3years)+Cites/Docs(2years),88.2515418402605,7788.504451803693
151,H-Index+Total Docs(3years)+Cites/Docs(2years)+Ref/Doc,10.392986840070476,108.18399007832555
152,H-Index+Total Docs(3years)+Citable Docs(3years)+Ref/Doc,5.272491668840067e+16,2.7799168397987924e+33
153,H-Index+Total Docs(3years)+Citable Docs(3years)+Cites/Docs(2years),1.8482804913322147e+17,3.4161407746392686e+34
154,H-Index+Total Docs(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,3160.3509580738228,9987818.348012758
155,H-Index+Total Docs(3years)+Total Cites(3years),3.8082342046618893e+33,1.450264775755679e+67
156,H-Index+Total Docs(3years)+Total Cites(3years)+Ref/Doc,6.358037669366192e+16,4.042464300507968e+33
157,H-Index+Total Docs(3years)+Total Cites(3years)+Cites/Docs(2years),1.040316450061221e+18,1.082258316267979e+36
158,H-Index+Total Docs(3years)+Total Cites(3years)+Cites/Docs(2years)+Ref/Doc,1.0329519409118998e+16,1.0669897122336665e+32
159,H-Index+Total Docs(3years)+Total Cites(3years)+Citable Docs(3years)+Ref/Doc,4.292870747910085e+17,1.8428739258262133e+35
160,H-Index+Total Docs(3years)+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years),1.5189487173638192e+17,2.307205205981207e+34
161,H-Index+Total Docs(3years)+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,1.6717697464534813e+17,2.7948140851571425e+34
162,H-Index+Total Docs(3years)+Total Refs,5.3828348361793245e+34,2.8974910873585612e+69
163,H-Index+Total Docs(3years)+Total Refs+Ref/Doc,5.097842594087492e+16,2.598799911409273e+33
164,H-Index+Total Docs(3years)+Total Refs+Cites/Docs(2years),1.3682546051136106e+17,1.8721206644146039e+34
165,H-Index+Total Docs(3years)+Total Refs+Cites/Docs(2years)+Ref/Doc,70.58448139064798,4982.338827807179
166,H-Index+Total Docs(3years)+Total Refs+Citable Docs(3years)+Ref/Doc,7.712328464829138e+16,5.948001034941366e+33
167,H-Index+Total Docs(3years)+Total Refs+Citable Docs(3years)+Cites/Docs(2years),8.549650723866009e+18,7.30965275001022e+37
168,H-Index+Total Docs(3years)+Total Refs+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,1.913797686461398e+17,3.6626215847049954e+34
169,H-Index+Total Docs(3years)+Total Refs+Total Cites(3years),6.313085595442739e+50,3.985504973538647e+101
170,H-Index+Total Docs(3years)+Total Refs+Total Cites(3years)+Ref/Doc,2.174326559724796e+18,4.727695988324648e+36
